attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,class
M,VL,H,H,H,M,L,VL,L,M,L,L,VL,VH,VH,VH,M,H,VH,H,H,class_0
VL,VH,VH,VH,VH,VH,VH,VH,VH,M,M,VL,VL,VL,L,L,M,M,VL,M,VL,class_0
M,M,M,M,L,VL,L,L,L,L,H,H,H,H,M,H,L,M,H,M,L,class_2
M,M,M,H,H,M,M,VL,M,L,VL,L,L,H,VH,VH,H,H,H,VL,M,class_0
M,H,L,M,L,L,M,L,VL,M,L,H,L,VH,VH,VH,VH,VH,VL,H,H,class_0
VH,L,H,M,VH,H,H,VH,VH,L,VL,VL,VL,L,VL,L,L,VL,H,L,M,class_0
VH,L,M,VH,VH,VH,H,VH,VH,H,M,L,VL,VL,VL,VL,VL,VL,VL,M,H,class_1
VH,M,H,VH,VH,H,H,VH,M,L,VL,H,M,L,L,L,M,M,VL,H,M,class_0
M,H,VH,VH,VH,VH,VH,VH,H,H,VL,L,VL,VL,L,VL,VL,VL,L,H,VL,class_0
VL,VH,H,VH,VH,VH,H,VH,VH,H,VL,L,VL,L,VL,M,VL,M,L,H,VL,class_1
VH,L,H,VL,L,M,M,VL,M,VL,L,H,H,VH,VH,VH,VH,VH,H,VH,VL,class_2
VL,M,H,VH,VH,H,VH,VH,H,M,L,VL,VL,VL,VL,VL,VL,VL,M,VL,VL,class_0
VH,VL,H,L,M,VL,L,L,VL,M,M,H,L,VH,H,H,H,L,L,VL,VL,class_2
VH,H,H,VH,VH,VH,H,H,VH,VH,VL,L,VL,VL,VL,VL,VL,VL,VL,VL,L,class_1
L,M,L,H,VH,H,M,L,M,L,VL,L,L,H,M,L,M,H,VL,M,M,class_0
VL,VH,H,M,H,H,H,M,VH,H,H,M,VL,VL,VL,L,L,M,M,H,VL,class_1
VH,H,M,VH,VH,VH,VH,VH,M,VL,L,VL,L,M,L,VL,M,M,H,M,M,class_0
H,VH,VH,L,VH,VH,VH,VH,M,H,M,VL,VL,VL,VL,VL,VL,M,L,L,M,class_1
L,H,M,M,VL,M,H,M,VH,H,VH,H,VL,L,VL,VL,L,M,M,L,H,class_1
VL,H,VL,VH,M,H,L,L,L,L,L,VL,L,L,M,VL,M,H,M,VH,H,class_0
M,VL,L,H,L,L,L,M,L,H,VL,L,L,M,L,VH,M,VH,H,VH,VH,class_0
L,H,H,H,H,VH,H,VH,L,M,L,VL,L,L,L,M,M,M,L,L,L,class_0
M,H,M,H,M,VL,L,L,M,VH,VH,H,H,L,VL,VL,VL,L,L,VL,L,class_1
M,M,VL,VL,L,VL,VL,VL,M,H,M,H,VH,H,M,M,M,H,VH,M,M,class_2
H,L,VH,VL,VL,VL,M,L,VL,H,L,M,VH,M,H,VH,L,M,M,VL,VH,class_2
VH,H,M,VL,H,VL,M,M,VL,M,H,H,VH,M,VH,H,H,VH,M,M,M,class_2
L,H,M,H,M,H,M,H,L,L,VL,L,M,VL,M,L,H,H,M,VL,M,class_0
VL,L,VH,H,H,M,VH,VH,VH,H,L,M,VL,VL,M,L,VL,VL,VL,H,VH,class_1
L,H,L,L,L,M,L,M,M,H,VH,VH,VH,M,H,M,M,VL,L,M,M,class_2
L,M,H,VH,H,H,VH,VH,L,M,M,L,L,L,M,VH,VL,M,H,VL,M,class_0
M,VH,VL,VH,VH,VH,H,H,M,M,VL,L,VL,VL,VL,VL,VL,L,VL,VL,VH,class_1
L,H,L,H,VH,H,VH,VH,M,L,L,M,VL,VL,L,M,VL,VL,VL,H,VL,class_1
VH,VH,M,H,L,M,VL,H,H,M,H,VH,M,L,L,VL,VL,VL,H,VL,M,class_1
H,M,M,L,L,L,VL,M,M,H,VH,VH,M,M,H,M,M,L,M,L,VL,class_1
VH,VH,VH,VH,VH,H,VH,VH,VH,H,M,L,M,L,VL,L,L,VL,H,M,VL,class_1
M,H,VL,M,VL,L,L,VL,VL,VL,M,L,M,VH,VH,VH,VH,VH,VH,H,M,class_2
VL,L,VL,VL,VL,VL,VL,M,VL,M,H,VH,H,VH,H,H,M,H,H,M,H,class_2
H,VL,H,VH,H,H,M,VH,VH,H,H,L,M,L,VL,M,L,M,L,M,VH,class_1
L,VH,M,M,H,H,VH,VH,H,M,L,L,VL,L,M,VL,M,M,VL,M,VL,class_1
VL,VL,VL,H,L,VL,L,VL,L,VL,H,H,M,VH,H,VH,VH,VH,L,M,VL,class_2
L,VL,L,M,VL,VL,VL,VL,VL,L,L,M,L,VH,H,VH,VH,M,VH,H,VL,class_2
L,H,L,H,H,H,VH,M,M,L,H,L,VL,L,L,L,M,L,L,VL,L,class_1
H,M,H,H,L,H,VH,H,VL,L,L,M,L,H,L,VH,M,H,L,H,H,class_0
VL,VH,VH,VH,VH,VH,VH,VH,H,VH,L,VL,L,VL,VL,VL,L,VL,VL,VL,L,class_1
M,L,L,H,H,H,M,H,VL,VH,VL,VL,L,M,VH,M,H,M,M,VH,H,class_0
VL,VH,M,VH,VH,VH,VH,VH,M,M,M,VL,VL,VL,VL,L,L,M,M,H,M,class_0
H,H,VL,M,VL,L,M,L,L,H,H,H,VH,L,VH,H,M,M,VH,M,VH,class_2
M,L,M,VL,L,L,VL,L,VL,VL,M,VH,VH,H,H,VH,VH,M,VH,VH,H,class_2
VH,L,VH,M,L,M,M,VL,L,VL,VL,L,VH,VH,VH,VH,H,VH,L,VH,VL,class_0
H,M,H,M,M,VL,VL,VL,VL,VL,H,M,VH,H,H,VH,VH,H,VH,H,L,class_2
H,L,H,M,H,H,H,VH,M,M,VL,VL,VL,VL,VL,L,M,L,M,L,M,class_0
H,VH,VL,M,L,H,H,M,L,M,H,VH,H,L,M,L,H,VL,VL,VL,VL,class_1
VH,H,VH,VH,H,H,H,VH,H,M,VL,VL,VL,VL,VL,VL,VL,VL,M,VH,H,class_1
L,H,H,VH,VH,VH,VH,VH,M,H,VL,VL,L,VL,VL,VL,L,VL,M,L,VH,class_0
H,VH,H,M,VH,H,M,M,VL,L,VL,VL,L,L,M,M,M,H,L,M,H,class_0
VL,M,VL,VL,VL,L,VL,L,M,H,H,M,H,H,M,M,H,L,M,H,M,class_2
VH,H,H,L,L,L,VL,VL,VL,H,L,M,H,VH,VH,VH,H,H,H,VH,L,class_2
VL,L,M,VH,VH,VH,H,VH,VH,VH,H,M,VL,M,VL,VL,VL,VL,L,VL,VL,class_1
L,VH,VL,VL,VL,M,VL,H,VH,VH,VH,H,H,M,M,VL,L,VL,M,H,H,class_1
L,H,M,H,M,VH,VH,L,VH,M,M,L,L,L,L,H,M,VL,VL,VL,H,class_1
L,L,H,L,M,L,VL,VL,L,VL,M,M,L,VH,H,VH,VH,VH,M,VH,VH,class_0
H,M,H,VL,VH,VH,H,H,L,VL,VL,VL,VL,L,L,H,L,L,VL,VL,VL,class_0
M,VL,L,VL,M,L,VL,VL,VL,VL,L,H,H,H,H,H,H,M,H,L,H,class_0
VH,VL,M,M,L,L,M,L,VL,VL,L,H,H,VH,H,VH,VH,VH,L,VH,H,class_2
M,M,VH,M,VH,VH,VH,M,H,L,H,M,L,L,VL,L,M,H,VL,VL,M,class_1
M,M,M,VL,L,L,VL,VL,VL,VL,L,H,VH,VH,H,VH,VH,M,H,VH,L,class_0
VH,VL,L,VL,VL,VL,VL,M,M,VH,VH,H,H,M,H,M,H,H,M,VL,VH,class_2
VH,M,VL,H,M,VH,H,M,VH,VH,L,M,L,VL,VL,VL,VL,VL,L,H,M,class_1
H,VL,M,L,M,M,H,H,H,M,H,L,VL,L,VL,VL,VL,M,VL,H,VH,class_1
VH,VH,M,L,M,M,H,H,VH,VH,VH,VH,L,VL,L,VL,VL,L,VL,M,L,class_1
VL,VH,VL,L,VL,VL,VL,L,VL,VL,H,M,VH,VH,H,VH,VH,H,VH,VH,H,class_2
L,L,H,L,VL,VL,M,VL,L,VL,L,H,M,H,VH,VH,VH,VH,VH,VH,VH,class_0
L,L,L,VL,VL,H,M,VL,M,L,H,M,M,H,M,M,L,M,VL,H,VL,class_2
VL,L,VH,L,VH,VH,VH,H,VH,L,VL,VL,VL,VL,VL,L,M,VL,M,VL,H,class_0
VH,H,M,VL,L,M,H,M,M,VH,VH,M,M,H,M,VL,VL,VL,M,VL,M,class_1
H,M,VH,L,VH,M,M,M,L,L,L,VL,L,L,M,VH,M,VH,L,VH,M,class_0
L,VH,VL,M,VL,VL,VL,VL,VL,VL,L,L,M,VH,VH,VH,VH,VH,H,M,M,class_2
VH,H,L,VH,M,L,L,VH,VL,VL,L,M,VL,L,H,VH,H,VH,M,M,M,class_0
VL,L,VH,VH,L,H,VH,H,H,H,VH,H,VL,M,VL,VL,VL,VL,L,VL,M,class_1
VL,L,M,M,L,L,VL,VL,VL,VL,L,H,M,H,H,VH,VH,VH,H,VL,VL,class_2
VL,VH,M,L,VH,VH,VH,M,VH,M,M,M,L,L,M,L,VL,M,VL,H,M,class_1
VH,L,VL,VL,M,VH,H,M,VH,VH,VH,H,VL,H,M,VL,M,M,M,H,VH,class_1
VL,L,M,VH,H,VH,H,M,H,L,VL,VL,M,VL,M,L,H,H,VH,L,VH,class_0
M,L,VL,VH,M,M,M,H,VL,L,L,VH,L,L,L,M,M,H,VH,VH,M,class_0
VL,M,VH,H,H,H,VH,H,VH,VL,M,VL,VL,L,M,VL,L,L,M,VH,H,class_0
L,L,M,H,H,VH,H,VH,H,H,H,L,M,VL,L,L,VL,L,M,VL,VH,class_1
VH,M,VL,L,M,H,L,H,VH,VH,H,VH,M,M,M,M,VL,H,L,M,H,class_1
VL,L,M,L,L,M,VL,M,H,VH,VH,VH,H,VH,H,H,H,M,L,VH,M,class_2
VL,L,H,VL,H,VL,M,M,H,VH,VH,VH,VH,H,M,L,L,M,L,VL,VH,class_2
H,L,VL,VL,VL,L,L,L,M,M,VH,H,VH,M,H,H,H,M,M,M,L,class_2
H,H,H,M,H,VH,H,H,L,L,L,L,VL,L,H,H,H,M,L,M,VL,class_0
M,VL,H,VL,L,VL,M,M,VH,VH,VH,VH,M,H,H,VL,L,M,H,VH,VH,class_2
M,M,VL,M,VL,L,VL,VL,M,L,H,M,VH,VH,M,H,H,VH,H,M,M,class_2
VH,VH,L,VL,VL,VL,M,L,L,M,VH,H,H,VH,H,H,L,VH,L,L,M,class_2
L,VL,M,L,L,M,L,VL,VL,L,L,H,VH,VH,VH,VH,VH,H,H,VH,L,class_2
M,VL,VH,M,H,L,L,L,VH,L,VL,VL,M,H,H,H,L,H,H,M,VH,class_0
H,H,H,H,H,H,L,VL,VL,M,VL,L,L,H,M,H,M,L,M,L,L,class_0
H,M,VH,VH,VH,H,H,VH,H,H,L,VL,L,VL,VL,VL,VL,VL,L,M,M,class_1
VH,L,L,M,VL,VL,VL,VL,VL,VL,M,VH,H,H,VH,VH,VH,VH,M,VH,VL,class_2
VL,M,L,L,VL,L,VL,VL,VL,VL,VL,L,H,VH,H,VH,VH,M,M,VL,VL,class_0
VH,M,M,H,VH,H,VH,VH,L,H,H,M,M,L,L,L,M,M,H,M,M,class_1
VL,M,VL,M,M,VL,L,VL,VL,VL,L,M,VH,VH,H,VH,VH,H,VH,VH,M,class_2
H,VH,H,H,M,VH,M,L,L,VL,VL,VL,M,H,M,H,VH,VH,H,M,M,class_0
L,VL,VH,H,M,M,L,VL,L,M,L,VL,L,M,H,VH,VH,H,H,H,VH,class_0
VH,M,VL,L,VL,M,VL,M,H,VH,VH,VH,M,H,M,L,VL,VL,L,VH,VH,class_1
VL,L,L,H,M,M,H,VH,H,VH,H,H,L,VL,M,H,M,M,H,VL,VH,class_1
M,VL,L,L,VL,VL,VL,L,L,VH,VL,VH,L,VH,VH,VH,H,VH,M,H,H,class_2
VH,H,M,VH,VH,VH,H,VH,M,VL,VL,VL,VL,VL,M,VL,VL,M,H,VH,L,class_1
VL,H,M,H,H,VH,VH,VH,VH,H,L,M,VL,L,VL,L,VL,M,L,M,L,class_1
M,VH,M,VH,H,VH,VH,H,M,M,M,M,VL,M,L,L,VH,H,H,VH,VL,class_0
VL,VL,M,VH,H,H,VH,M,H,M,L,M,L,M,L,M,L,M,L,M,VL,class_0
L,VL,L,VL,L,L,VL,VL,L,L,L,VH,H,VH,VH,VH,VH,M,L,VH,M,class_2
H,M,H,M,L,M,L,L,VL,L,VL,M,L,H,H,L,L,M,VH,VH,M,class_0
H,VL,L,M,VL,VL,L,L,H,H,VH,H,M,L,M,VL,M,VL,L,M,VH,class_2
VH,VH,L,VL,M,H,L,L,VL,VL,L,M,H,H,H,VH,H,H,L,VL,VL,class_0
VL,VH,VH,VH,VH,VH,VH,VH,M,H,VL,VL,VL,VL,VL,VL,VL,L,H,VH,H,class_0
VL,L,M,L,L,H,H,H,VH,VH,VH,M,M,VL,VL,L,M,VL,VL,VL,VH,class_1
L,M,M,L,L,M,VL,VL,L,L,L,H,VH,VH,VH,VH,VH,H,VH,H,H,class_2
H,L,L,H,VL,VL,L,L,H,VH,VH,VH,H,M,H,M,VL,L,VL,L,L,class_1
L,L,VL,VL,VL,VL,M,H,VH,VH,VH,VH,H,M,H,M,VL,M,VL,L,M,class_2
L,VL,VH,M,M,M,M,VH,H,M,M,L,L,VL,L,VL,H,L,H,VL,M,class_1
L,VL,VH,M,M,VH,H,H,H,H,VH,M,L,H,M,L,M,M,M,VH,L,class_1
VL,L,VL,VL,VL,L,L,M,H,VH,VH,H,H,VH,H,M,VL,M,VL,VL,L,class_2
L,L,H,L,VL,VL,VL,VL,L,VL,M,H,H,H,VH,VH,VH,VH,VH,M,VH,class_2
M,VH,L,H,VH,H,VH,VH,VH,VH,L,VL,M,VL,VL,L,L,L,VL,VL,M,class_1
H,VH,VL,H,H,VH,VH,H,M,M,L,VL,VL,L,VL,L,M,L,VH,VL,M,class_1
VH,VL,VL,VL,VL,VL,L,VH,M,VH,VH,H,M,H,VL,M,L,H,L,L,L,class_2
M,H,VH,H,H,L,L,M,VL,VL,H,VL,M,M,VH,H,VH,M,M,VH,L,class_0
L,VL,M,M,M,M,L,L,L,M,H,M,L,L,M,VH,M,VH,M,VH,VH,class_2
VH,M,H,VH,VH,VH,VH,VH,VH,L,M,VL,VL,VL,VL,VL,L,H,L,VH,M,class_0
VL,M,L,VL,L,VL,L,VL,VL,L,H,VH,L,VH,H,VH,VH,M,H,M,L,class_2
L,M,H,VL,H,M,M,L,H,VL,M,H,M,L,M,VH,H,M,H,M,VH,class_0
L,VL,H,L,M,VH,M,M,L,M,VL,M,L,H,VH,M,L,H,VH,L,M,class_0
L,L,L,L,H,L,L,M,VL,VL,VL,VL,M,M,H,H,H,VH,M,H,H,class_0
VL,VL,M,L,VL,L,VL,L,VL,VL,VL,L,M,H,VH,H,VH,L,H,L,L,class_0
VL,L,H,H,VH,VH,VH,VH,VH,H,L,VL,VL,VL,L,VL,VL,M,VL,VL,VH,class_1
VL,M,M,M,H,L,L,M,VL,L,L,VL,VL,L,H,H,VH,VH,VL,M,VH,class_0
H,VH,H,L,H,M,M,H,H,VH,L,M,M,VL,M,L,M,M,VL,M,L,class_1
M,VH,VH,VH,M,VH,H,H,H,H,L,L,VL,M,M,M,L,M,M,VL,H,class_0
VH,M,H,VL,VL,VL,VL,L,L,H,M,M,VH,M,H,H,L,VH,M,H,VH,class_2
L,H,M,L,VL,L,H,L,L,H,H,VH,M,VH,H,L,M,L,L,M,H,class_2
VH,VL,VL,H,M,M,L,M,L,VL,M,VL,L,M,H,H,M,M,VH,VL,VH,class_0
M,VL,M,L,M,VL,VL,VL,VL,L,VL,M,M,M,H,VH,VH,H,VH,H,H,class_0
VH,L,H,VH,VH,VH,H,H,H,L,VL,L,VL,VL,VL,L,M,VL,M,VL,H,class_0
L,L,L,L,M,VL,VL,VL,M,H,H,H,VH,VH,H,M,M,M,H,H,VL,class_2
L,VH,L,M,L,L,L,VL,M,M,H,L,H,H,M,M,H,M,M,VH,M,class_2
H,L,M,VL,VL,L,L,L,VH,VH,VH,H,VH,M,M,M,M,VL,VH,H,L,class_1
L,VH,VH,VH,VH,VH,H,VL,M,M,VL,L,L,L,L,L,M,H,VH,L,H,class_0
VH,H,M,L,M,M,L,L,VL,M,M,M,H,L,H,H,VH,H,L,L,VL,class_0
H,VH,H,H,M,H,M,H,H,VH,H,VH,VL,VL,L,H,VL,L,VL,VL,VH,class_1
L,VL,H,M,VL,L,L,L,VL,VL,M,M,VH,H,H,VH,H,VH,L,M,M,class_0
H,VH,M,VH,H,H,VH,H,H,M,H,M,L,L,VL,M,VL,VL,L,VL,VL,class_1
M,H,VH,M,H,VH,H,H,M,M,M,VL,H,VL,M,L,M,M,H,L,L,class_0
M,VL,L,L,M,VL,L,M,H,L,L,VH,VH,VH,VH,VH,VH,VH,VL,L,L,class_2
VL,VL,VL,M,VL,VL,L,VL,VL,VL,H,VH,H,VH,VH,VH,VH,VH,VH,VH,L,class_2
H,M,VL,M,L,VL,H,H,M,VH,H,H,VH,H,L,H,M,VL,M,H,VL,class_2
VL,VH,H,VH,VH,VH,VH,VH,VH,H,VL,VL,VL,VL,VL,VL,VL,M,H,L,L,class_1
L,VL,L,L,L,L,VL,M,M,L,VH,VH,VH,H,M,L,VL,M,M,VL,VH,class_2
M,L,VL,VL,VL,VL,M,H,VH,H,VH,VH,VH,VH,H,H,VL,M,L,L,VH,class_2
H,H,M,VH,H,H,VH,VH,VH,VL,VL,L,VL,VL,VL,M,VL,L,L,M,L,class_1
H,VL,VH,L,VL,VL,H,L,H,VH,VH,H,H,H,VL,L,L,VL,M,M,H,class_2
L,M,VL,VL,H,VL,VL,VL,VL,VL,L,L,H,VH,VH,VH,H,VH,VH,M,M,class_2
L,VL,VH,VL,VL,M,VL,VL,H,VL,VH,L,H,VH,VH,VH,L,M,H,VH,L,class_2
VL,L,VL,L,L,VL,M,M,H,VH,VH,H,VH,H,M,M,VL,VL,VL,L,L,class_2
M,VL,VL,VL,VL,VL,VL,VL,VL,VL,M,M,VH,VH,VH,VH,H,VH,H,H,VH,class_2
VL,M,M,L,L,VL,L,M,VL,VL,L,H,L,VH,H,H,M,VH,M,L,H,class_0
H,H,H,VH,VH,VH,H,M,VH,L,VL,VL,L,VL,L,VL,VL,VL,H,L,L,class_0
L,VL,M,H,L,VL,VL,L,VL,VL,L,M,H,VH,VH,VH,VH,VH,VH,VL,VL,class_2
M,VL,L,H,H,H,L,L,VL,L,VL,VL,M,H,M,H,H,VH,H,M,L,class_0
VH,VL,VH,VH,H,VH,H,H,M,L,M,VL,L,VL,VL,M,L,VL,L,H,H,class_0
M,VH,VL,L,VL,VL,H,H,H,H,VH,VH,VH,M,L,L,VL,H,M,VL,VH,class_2
M,H,VH,VH,H,VH,VH,VH,M,H,VL,M,VL,VL,L,VL,L,L,L,L,M,class_0
VL,VL,L,M,M,H,M,H,M,VH,H,M,H,L,M,L,H,M,M,VL,VL,class_1
VH,L,VH,H,M,L,L,VL,L,L,H,VL,H,VH,VH,H,H,H,H,H,VL,class_2
VH,H,L,VH,VH,VH,VH,M,L,M,L,L,VL,VL,VL,M,H,M,VL,VL,L,class_0
M,VH,VL,VL,VL,L,L,VL,M,L,H,M,VH,VH,VH,H,M,M,VH,H,L,class_2
M,VL,M,L,L,VL,VL,VL,VL,VL,M,L,VH,VH,VH,VH,H,VH,H,VL,VH,class_2
VH,VH,M,VH,M,VH,VH,M,VH,H,M,VL,L,L,L,L,VL,M,H,VL,M,class_1
M,VL,L,M,H,L,L,L,M,M,VL,L,M,H,H,VH,VH,H,VH,H,L,class_0
VH,L,L,H,M,VH,M,M,VH,VH,VH,L,L,M,L,VL,H,L,H,M,L,class_1
L,M,M,M,H,H,M,H,H,VH,VH,L,M,M,L,VL,M,L,VL,VL,VL,class_1
VH,VH,H,VH,VH,VH,VH,VH,VH,H,VL,VL,L,L,L,L,L,VL,M,VL,VL,class_0
VL,L,VL,L,VL,M,M,L,VH,H,VH,H,VH,H,M,L,M,VL,VL,VL,M,class_2
VH,VL,L,VL,VL,VL,VL,L,VL,L,M,L,VH,VH,VH,VH,VH,H,H,VL,L,class_2
H,H,H,VL,L,L,VL,VL,VL,L,L,M,M,VH,VH,VH,VH,H,VH,H,L,class_0
M,H,VL,L,M,M,L,L,H,VH,H,VH,M,M,H,H,M,H,H,VL,VL,class_2
M,VL,L,VL,L,VL,L,L,VH,VH,VH,VH,M,VH,H,L,L,M,VL,M,H,class_2
VH,VH,H,H,H,H,VH,H,M,M,H,M,VL,L,L,VL,VL,L,VL,M,VL,class_1
M,M,H,VH,VH,H,VH,VH,H,H,L,VL,VL,L,VL,L,VL,L,M,VL,VL,class_1
M,VH,M,L,L,H,VH,M,VH,VH,VH,M,H,L,L,M,L,M,VL,H,L,class_1
L,VH,VL,L,M,VL,H,VL,VL,H,VH,VH,VH,M,H,VL,H,L,VL,H,L,class_2
VL,VL,L,M,L,M,VL,VL,L,VL,M,VL,M,VH,VH,H,VH,VH,H,H,M,class_0
L,L,VL,VL,M,L,L,L,L,VL,H,VL,M,H,VH,VH,VH,VH,VH,M,M,class_0
H,VH,L,M,H,VH,H,H,M,H,H,H,L,L,L,VL,M,L,VL,VL,VL,class_1
M,L,M,M,VH,L,M,VL,VL,VL,L,VL,H,VH,H,VH,H,M,VH,VH,VH,class_0
VH,M,H,VL,H,VH,M,M,M,H,H,M,M,M,H,L,M,VL,L,H,VL,class_1
H,M,H,L,H,VL,VL,VL,VL,VL,L,M,VH,VH,VH,VH,VH,H,VH,VH,H,class_2
VH,L,M,M,L,M,VL,VL,VL,L,VL,L,H,H,VH,VH,VH,VH,VH,VH,L,class_2
VH,VH,M,H,H,H,H,M,VL,VL,L,M,L,M,H,VH,L,VL,VH,M,H,class_0
H,H,L,VL,M,H,VL,L,L,L,VH,H,M,H,M,H,M,H,L,VH,H,class_2
VL,VL,VH,VH,VH,H,VH,H,H,H,VL,L,L,VL,M,VL,VL,VL,VL,VH,VH,class_1
M,VL,L,H,H,L,L,L,VL,VL,VL,VL,M,VH,VH,H,VH,VH,VH,H,H,class_0
H,M,H,L,VH,VH,H,H,VH,H,VH,H,L,L,L,H,VL,H,L,L,VH,class_1
H,VL,L,L,M,VH,VH,M,VH,H,M,H,L,M,L,L,VL,M,L,VH,VH,class_1
M,M,VH,M,M,VH,H,VH,VH,VH,VH,M,L,VL,M,L,L,VL,VL,L,VL,class_1
H,VL,M,VL,L,VL,VL,VL,L,H,VH,M,M,H,VH,VH,H,H,M,VH,VL,class_2
VL,VH,VH,H,VH,H,VH,VH,H,M,VL,VL,VL,VL,VL,VL,L,M,VL,VH,VL,class_1
M,M,M,H,VH,VH,VH,VH,VH,VL,L,VL,VL,VL,VL,VL,L,VL,L,L,VL,class_1
VL,L,VL,L,VL,L,M,L,L,VH,H,H,H,VH,M,M,M,H,L,M,L,class_2
VH,VL,VH,M,H,L,M,H,M,H,H,M,H,VL,L,VL,L,H,VL,VL,VL,class_1
VH,M,M,VH,VH,H,VH,L,L,M,L,VL,VL,H,M,H,M,L,H,H,VH,class_0
L,H,H,VH,H,H,M,M,L,VL,VL,VL,VL,L,M,H,M,M,L,VH,VH,class_0
VH,L,VL,L,VL,M,VL,VL,M,L,H,L,H,H,VH,H,H,VH,H,VL,H,class_2
H,VH,L,M,M,H,M,L,M,L,L,L,L,M,H,M,M,VH,M,L,VL,class_0
M,VH,L,VH,VH,VH,VH,M,VH,VL,L,VL,VL,L,VL,VL,L,VL,L,M,VH,class_0
M,VL,M,VL,L,M,VL,VL,L,VL,L,H,VH,H,VH,VH,VH,VH,H,M,VL,class_0
VH,L,L,L,VL,H,M,M,VH,VH,VH,VH,VH,VH,H,VL,M,L,M,H,VL,class_2
L,H,VH,H,H,H,VH,VH,L,M,L,L,VL,VL,L,VL,H,M,M,VH,L,class_0
VH,L,H,H,VH,H,H,H,H,VL,L,L,VL,H,L,M,H,L,L,VL,VL,class_0
H,L,VL,H,L,M,L,L,M,VL,H,L,VL,VH,H,VH,VH,VH,H,H,VL,class_0
VH,M,L,M,VL,L,VL,VL,M,M,VH,L,L,M,VH,M,H,H,M,VH,L,class_2
VH,M,VL,VL,L,M,VL,L,VL,M,M,H,H,VH,VH,H,VH,VH,M,VH,M,class_2
VL,M,L,L,L,L,L,L,VL,L,L,L,H,H,VH,VH,VH,VH,L,VH,VH,class_0
VH,L,M,M,M,H,H,VH,VH,M,H,VH,M,VL,M,VL,VL,L,VL,M,VH,class_1
VH,L,VL,M,L,L,M,H,VH,H,VH,H,VH,M,VL,L,VL,M,M,L,VH,class_2
M,VH,L,VH,M,M,H,M,H,VL,VL,H,L,H,VH,M,H,M,VH,M,VL,class_0
H,H,VH,M,H,VH,H,H,VH,M,VL,VL,VL,L,L,VL,VL,VH,H,VL,M,class_0
H,H,VH,VH,M,VH,VH,H,M,H,M,VL,L,L,M,VL,VL,M,M,M,L,class_1
VH,H,M,L,H,H,H,VH,L,H,VH,H,VL,L,VL,M,L,VL,L,VL,L,class_1
L,M,VH,VH,H,VH,VH,VH,VH,VL,VL,L,VL,VL,M,M,L,VL,H,H,M,class_0
L,M,H,M,H,H,H,VH,H,H,H,H,M,M,VL,M,L,VL,M,M,H,class_1
L,VH,VH,H,VH,H,M,H,L,M,L,M,M,M,H,H,VH,M,H,L,L,class_0
VL,M,H,L,VL,L,VL,VL,L,VL,VL,H,VH,H,M,VH,VH,VH,VH,VH,VH,class_2
M,H,VH,VL,VL,VL,L,L,L,M,M,M,H,M,M,H,L,M,M,L,VL,class_2
L,L,H,VL,L,VL,M,VL,L,M,M,VL,VH,H,VH,H,VH,H,VH,M,VL,class_0
VH,VL,VL,M,VL,VL,VL,VL,VL,VL,VL,M,H,VH,VH,VH,VH,H,M,VH,VL,class_2
H,M,L,L,VL,L,H,H,M,H,VH,VH,M,M,H,VL,L,H,M,H,L,class_2
H,VH,M,VH,M,VH,VH,H,H,VL,H,L,VL,M,L,VL,M,M,VL,VL,L,class_0
VL,L,H,VL,M,H,VH,VH,VH,H,M,H,VL,L,M,VL,VL,M,VH,L,VH,class_1
VL,L,H,VL,H,L,M,M,VL,VL,VL,L,H,H,H,H,VH,H,M,L,VH,class_0
VL,H,VH,VL,H,M,L,L,VL,VL,L,M,M,VH,VH,VH,VH,M,VH,VH,L,class_0
VH,L,L,VL,VL,VL,L,VL,VL,VL,L,VH,VH,VH,VH,VH,VH,H,H,VH,M,class_2
M,VL,M,VH,VH,VH,VH,VH,M,H,M,L,VL,VL,VL,L,VL,VL,M,L,VL,class_1
VH,VL,H,M,M,VL,L,M,VH,VH,VH,H,M,M,M,VL,VL,M,H,VH,VH,class_2
VL,L,H,H,H,M,M,VL,L,L,L,L,L,M,H,H,H,L,VH,VH,H,class_0
M,VL,M,H,VL,M,M,H,H,VH,H,VH,M,H,H,M,H,VL,M,H,M,class_2
VL,M,VH,H,L,H,H,VH,VH,VH,H,L,M,L,VL,VL,M,VL,L,M,M,class_1
M,H,VH,M,VH,VH,VH,VH,M,L,L,VL,VL,VL,VL,VL,L,VL,L,L,M,class_1
VH,VL,VH,L,VL,VL,M,H,VH,VH,VH,VH,H,H,L,L,L,L,VL,VL,VH,class_1
M,H,H,VH,H,VH,VH,M,L,L,H,VL,VL,VL,L,L,L,L,L,L,VL,class_0
M,L,M,M,H,M,H,L,L,VL,VL,M,M,M,H,VH,H,H,M,M,VH,class_0
VH,L,H,VH,VH,VH,VH,M,H,L,M,M,VL,VL,VL,L,M,L,M,VL,H,class_1
L,H,VH,VL,M,L,VL,M,M,M,H,M,M,VH,H,M,L,M,H,L,VL,class_2
L,H,H,VH,VH,VH,H,M,M,L,VL,VL,VL,L,VL,M,VL,VL,L,H,L,class_0
M,VH,M,VL,L,L,L,M,L,VL,M,L,M,H,H,H,H,H,VH,VH,L,class_0
